open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666915200000,20296.12000000,20756.06000000,20000.00000000,20596.41000000,125914.50061000,1667001599999,2565994615.16725180,2522913,63160.65767000,1287346399.73517390,0
1667001600000,20596.43000000,21090.75000000,20557.67000000,20816.93000000,110171.18379000,1667087999999,2292762285.66981330,2292677,55946.82428000,1164295015.41495090,0
1667088000000,20816.76000000,20936.66000000,20515.00000000,20630.12000000,78048.75847000,1667174399999,1617530994.84453600,1746442,39080.11622000,809976541.86357360,0
1667174400000,20629.94000000,20842.25000000,20240.00000000,20488.43000000,116854.44587000,1667260799999,2397004242.98173370,2481926,58439.02431000,1198878608.46504740,0
1667260800000,20489.49000000,20695.41000000,20327.32000000,20480.94000000,113895.69386000,1667347199999,2334687638.97129960,2409528,56504.19256000,1158355227.04041590,0
1667347200000,20480.92000000,20800.00000000,20060.12000000,20149.06000000,139366.82754000,1667433599999,2846982726.69329840,2833540,68949.19138000,1408721333.70241480,0
1667433600000,20150.59000000,20400.00000000,20030.00000000,20206.44000000,120393.44736000,1667519999999,2436820471.46919120,2899055,59198.97417000,1198281890.58799020,0
1667520000000,20206.45000000,21300.00000000,20180.19000000,21148.36000000,172828.69169000,1667606399999,3587071942.21902210,3876777,86739.38697000,1800484906.46551480,0
1667606400000,21149.81000000,21486.30000000,21080.90000000,21300.01000000,103149.19668000,1667692799999,2200851361.67246470,2436899,50987.91001000,1087947978.81703780,0
1667692800000,21300.12000000,21367.76000000,20880.50000000,20908.39000000,94166.57045000,1667779199999,1996306801.98230480,2235041,46611.24916000,988175617.51721680,0
